"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"91","03-31",40.58,51.43,16.61,43.64,16.49,36.17,14.59,14.48,48.11,73.36,24.61,13.11,NA,14.48,73.36,32.765,"AT"
"92","04-01",41.07,51.47,16.21,43.1,16.3,35.6,15.48,14.59,48.56,72.85,24.8,13.09,NA,14.59,72.85,32.76,"AT"
"93","04-02",41.69,51.36,15.75,43.44,15.98,35.86,15.55,14.69,48.76,72.69,25.05,13.12,NA,14.69,72.69,32.8283333333333,"AT"
"94","04-03",42.36,51.49,15.28,39.9,15.72,36.17,15.57,14.77,48.98,72.68,25.21,13.12,NA,14.77,72.68,32.6041666666667,"AT"
"95","04-04",42.81,51.59,14.99,40.27,15.55,36.39,15.69,14.95,49.21,72.63,25.44,12.98,NA,14.95,72.63,32.7083333333333,"AT"
"96","04-05",43.33,51.68,14.81,40.62,15.41,36.68,15.81,15.03,49.42,72.57,25.58,12.84,NA,14.81,72.57,32.815,"AT"
"97","04-06",43.86,51.82,14.62,40.88,15.23,36.86,15.89,15.06,49.73,72.58,25.35,12.99,NA,14.62,72.58,32.9058333333333,"AT"
"98","04-07",44.51,52,14.5,41.16,14.98,37.12,15.92,15.31,50.07,72.57,25.07,13.32,NA,14.5,72.57,33.0441666666667,"AT"
"99","04-08",45.21,52.16,14.19,41.41,14.76,37.24,16.21,15.59,50.35,72.64,24.69,13.68,NA,14.19,72.64,33.1775,"AT"
"100","04-09",45.9,52.36,14.01,41.64,14.63,37.35,16.59,15.82,50.68,72.72,24.4,14.05,NA,14.01,72.72,33.3458333333333,"AT"
"101","04-10",46.65,52.38,13.85,41.84,14.47,37.53,16.74,15.99,50.96,73.03,24.24,14.33,NA,13.85,73.03,33.5008333333333,"AT"
"102","04-11",47.21,52.41,13.77,42.1,14.46,37.68,16.96,16.11,51.21,73.39,24.14,14.35,NA,13.77,73.39,33.6491666666667,"AT"
