"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"145","05-24",75.91,70.04,20.82,67.06,29.2,51.82,26.75,21.37,74.44,72.79,33.34,59.92,NA,20.82,75.91,50.2883333333333,"DK"
"146","05-25",76.11,70.41,21.27,67.56,29.54,52.52,27.17,21.77,74.91,72.78,33.33,61.03,NA,21.27,76.11,50.7,"DK"
"147","05-26",76.31,70.8,21.75,67.83,29.9,53.17,27.57,22.14,75.37,72.85,33.39,62.12,NA,21.75,76.31,51.1,"DK"
"148","05-27",76.32,71.34,21.86,68.18,30.23,53.95,28.02,22.56,75.62,72.96,33.13,63.2,NA,21.86,76.32,51.4475,"DK"
"149","05-28",76.64,71.73,21.86,68.6,30.38,54.61,28.48,22.94,76,73.13,33.35,64.15,NA,21.86,76.64,51.8225,"DK"
"150","05-29",77,71.96,21.84,69.08,30.69,55.32,28.77,23.19,76.24,73.32,33.62,65.17,NA,21.84,77,52.1833333333333,"DK"
"151","05-30",77.12,72.09,22.05,69.55,31.07,56.1,29.09,23.29,75.76,73.67,34.06,66.85,NA,22.05,77.12,52.5583333333333,"DK"
"152","05-31",77.25,72.27,22.39,70.13,31.42,56.87,29.43,23.78,76,74.02,34.17,66.85,NA,22.39,77.25,52.8816666666667,"DK"
"153","06-01",77.52,72.46,22.83,70.63,31.71,57.43,29.49,24.11,76.57,74.28,34.44,67.61,NA,22.83,77.52,53.2566666666667,"DK"
"154","06-02",77.91,72.66,23.16,71.11,32.02,58.02,29.93,24.6,77.22,74.59,34.7,68.2,NA,23.16,77.91,53.6766666666667,"DK"
"155","06-03",78.3,72.65,23.21,71.6,32.5,58.37,30.47,25.08,77.82,74.8,35.01,68.83,NA,23.21,78.3,54.0533333333333,"DK"
"156","06-04",78.68,72.5,23.36,72.17,32.44,58.98,31,25.5,78.39,75.04,35.18,69.64,NA,23.36,78.68,54.4066666666667,"DK"
"157","06-05",78.91,72.24,23.65,72.78,33.27,59.57,31.5,25.86,78.66,75.3,35.4,70.52,NA,23.65,78.91,54.805,"DK"
"158","06-06",79.34,71.94,23.79,73.11,33.69,60.14,31.89,26.12,79.24,75.57,35.63,71.31,NA,23.79,79.34,55.1475,"DK"
"159","06-07",79.15,71.78,24.02,73.73,34.03,60.43,32.11,26.42,79.68,75.81,35.91,71.91,NA,24.02,79.68,55.415,"DK"
"160","06-08",78.94,71.51,24.5,74.16,34.27,60.87,32.32,26.62,79.37,75.93,36.28,72.48,NA,24.5,79.37,55.6041666666667,"DK"
"161","06-09",79.3,71.6,24.91,74.06,34.61,61.07,32.64,27.27,79.96,76.08,36.53,72.98,NA,24.91,79.96,55.9175,"DK"
"162","06-10",79.65,71.75,24.91,73.76,35.05,61.47,33.07,27.91,80.53,76.18,36.81,73.51,NA,24.91,80.53,56.2166666666667,"DK"
"163","06-11",80.03,71.79,25.11,73.42,35.44,62.14,33.52,28.26,80.85,76.3,37.09,74.35,NA,25.11,80.85,56.525,"DK"
"164","06-12",80.33,71.81,25.31,73.26,35.83,62.77,33.87,28.52,81.24,76.5,37.43,72.67,NA,25.31,81.24,56.6283333333333,"DK"
"165","06-13",80.8,71.74,25.62,73.16,36.25,63.23,34.29,28.96,81.74,76.93,37.74,73.37,NA,25.62,81.74,56.9858333333333,"DK"
"166","06-14",81.05,71.88,25.99,73.05,36.67,63.76,34.68,29.22,81.98,77.21,38.07,73.93,NA,25.99,81.98,57.2908333333333,"DK"
"167","06-15",81.41,71.66,26.36,72.94,36.83,64.42,35.05,29.66,82.52,77.3,38.08,74.14,NA,26.36,82.52,57.5308333333333,"DK"
"168","06-16",81.67,71.57,26.52,72.73,37.08,65.04,35.45,30.23,83.2,77.45,38.28,74.14,NA,26.52,83.2,57.78,"DK"
"169","06-17",81.9,71.61,26.67,72.36,37.18,65.61,35.93,30.76,83.75,77.66,38.46,74.61,NA,26.67,83.75,58.0416666666667,"DK"
"170","06-18",82.32,71.28,26.87,71.95,37.49,65.9,36.36,31.22,84.06,77.95,38.77,75.34,NA,26.87,84.06,58.2925,"DK"
"171","06-19",82.74,71.13,27.04,71.67,37.89,66.42,36.71,31.86,84.12,78.28,39.11,75.95,NA,27.04,84.12,58.5766666666667,"DK"
"172","06-20",82.88,71.06,27.39,71.79,38.36,66.92,37.12,32.14,84.69,78.68,39.44,76.35,NA,27.39,84.69,58.9016666666667,"DK"
"173","06-21",83.29,71.21,27.7,71.52,38.85,67.48,37.23,32.58,85.24,79.04,39.58,76.73,NA,27.7,85.24,59.2041666666667,"DK"
"174","06-22",83.67,71.4,28.22,71.26,39.26,67.79,37.58,33.08,85.58,79.25,39.81,77.1,NA,28.22,85.58,59.5,"DK"
"175","06-23",84.05,71.7,28.77,70.91,39.66,67.98,37.94,33.77,85.89,79.46,39.92,77.57,NA,28.77,85.89,59.8016666666667,"DK"
