"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"128","05-07",53.64,48.24,30.65,54.81,31.03,40.42,32.07,27.47,51.35,65.4,30.74,36.45,NA,27.47,65.4,41.8558333333333,"EU"
"129","05-08",54.05,48.51,30.96,55.07,31.29,40.86,32.21,27.89,51.63,65.81,31.02,36.97,NA,27.89,65.81,42.1891666666667,"EU"
"130","05-09",54.41,48.8,31.34,55.36,31.66,41.26,32.28,28.29,51.89,66.3,31.41,37.4,NA,28.29,66.3,42.5333333333333,"EU"
"131","05-10",54.77,49.11,31.71,55.67,32.63,41.64,32.41,28.72,52.17,66.72,31.77,37.82,NA,28.72,66.72,42.9283333333333,"EU"
"132","05-11",55.03,49.43,32.07,55.97,32.96,42.01,32.59,29.17,52.53,67.05,32.08,38.27,NA,29.17,67.05,43.2633333333333,"EU"
"133","05-12",55.33,49.72,32.42,56.2,33.27,42.37,32.84,29.65,52.89,67.2,32.37,38.7,NA,29.65,67.2,43.58,"EU"
"134","05-13",55.69,50.03,32.72,56.41,33.58,42.74,33.17,30.03,53.15,67.39,32.68,39.25,NA,30.03,67.39,43.9033333333333,"EU"
"135","05-14",56.11,50.27,32.97,56.59,33.92,43.15,33.52,30.51,53.41,67.61,33,39.81,NA,30.51,67.61,44.2391666666667,"EU"
"136","05-15",56.55,50.47,33.25,56.8,34.23,43.5,33.8,30.89,53.6,67.85,33.33,40.39,NA,30.89,67.85,44.555,"EU"
"137","05-16",56.88,50.65,33.51,57.06,34.6,43.81,34.09,31.27,53.84,68.21,33.67,40.83,NA,31.27,68.21,44.8683333333333,"EU"
"138","05-17",57.22,50.91,33.79,57.36,34.99,44.07,34.41,31.64,54.15,68.62,33.88,41.23,NA,31.64,68.62,45.1891666666667,"EU"
"139","05-18",57.55,51.2,34.15,57.69,35.3,44.37,34.73,31.99,54.59,68.96,34.02,41.62,NA,31.99,68.96,45.5141666666667,"EU"
"140","05-19",57.91,51.57,34.52,57.52,35.57,44.68,35.06,32.43,55.03,69.26,34.19,42.07,NA,32.43,69.26,45.8175,"EU"
